"Indicator","Time","Value (USD/UAH)"
"Currency","2017/02/21",27.02
"Currency","2017/02/20",26.97
"Currency","2017/02/18",27.01
"Currency","2017/02/17",27.01
"Currency","2017/02/16",26.99
"Currency","2017/02/15",27.19
"Currency","2017/02/14",27.10
"Currency","2017/02/13",27.37
"Currency","2017/02/10",27.19
"Currency","2017/02/09",27.03
"Currency","2017/02/08",26.90
"Currency","2017/02/07",26.97
"Currency","2017/02/06",27.09
"Currency","2017/02/03",27.14
"Currency","2017/02/02",26.91
"Currency","2017/02/01",26.84
"Currency","2017/01/31",27.06
"Currency","2017/01/30",27.08
"Currency","2017/01/28",27.18
"Currency","2017/01/27",27.18
"Currency","2017/01/26",27.15
"Currency","2017/01/25",27.14
"Currency","2017/01/24",27.21
"Currency","2017/01/23",27.24
"Currency","2017/01/20",27.34
"Currency","2017/01/19",27.39
"Currency","2017/01/18",27.49
"Currency","2017/01/17",27.56
"Currency","2017/01/16",27.69
"Currency","2017/01/13",27.54
"Currency","2017/01/12",27.24
"Currency","2017/01/11",27.16
"Currency","2017/01/10",27.09
"Currency","2017/01/09",26.90
"Currency","2017/01/06",26.89
"Currency","2017/01/05",26.27
"Currency","2017/01/04",26.59
"Currency","2017/01/03",26.99
"Currency","2017/01/02",27.00
"Currency","2016/12/30",26.99
"Currency","2016/12/29",26.99
"Currency","2016/12/28",27.14
"Currency","2016/12/27",26.59
"Currency","2016/12/26",26.31
"Currency","2016/12/23",26.26
"Currency","2016/12/22",26.14
"Currency","2016/12/21",26.37
"Currency","2016/12/20",26.39
"Currency","2016/12/19",26.23
"Currency","2016/12/16",26.20
"Currency","2016/12/15",26.29
"Currency","2016/12/14",26.31
"Currency","2016/12/13",26.11
"Currency","2016/12/12",26.04
"Currency","2016/12/10",25.99
"Currency","2016/12/09",25.99
"Currency","2016/12/08",25.74
"Currency","2016/12/07",25.65
"Currency","2016/12/06",26.06
"Currency","2016/12/05",26.05
"Currency","2016/12/02",25.97
"Currency","2016/12/01",25.65
"Currency","2016/11/30",25.52
"Currency","2016/11/29",25.57
"Currency","2016/11/28",25.63
"Currency","2016/11/25",25.70
"Currency","2016/11/24",25.58
"Currency","2016/11/23",25.58
"Currency","2016/11/22",25.63
"Currency","2016/11/21",25.70
"Currency","2016/11/19",25.85
"Currency","2016/11/18",25.85
"Currency","2016/11/17",25.97
"Currency","2016/11/16",26.17
"Currency","2016/11/15",26.14
"Currency","2016/11/14",25.75
"Currency","2016/11/12",25.62
"Currency","2016/11/11",25.62
"Currency","2016/11/10",25.57
"Currency","2016/11/09",25.54
"Currency","2016/11/08",25.55
"Currency","2016/11/07",25.56
"Currency","2016/11/04",25.57
"Currency","2016/11/03",25.57
"Currency","2016/11/02",25.48
"Currency","2016/11/01",25.57
"Currency","2016/10/31",25.50
"Currency","2016/10/29",25.47
"Currency","2016/10/28",25.47
"Currency","2016/10/27",25.50
"Currency","2016/10/26",25.45
"Currency","2016/10/25",25.61
"Currency","2016/10/24",25.60
"Currency","2016/10/21",25.64
"Currency","2016/10/20",25.65
"Currency","2016/10/19",25.66
"Currency","2016/10/18",25.65
"Currency","2016/10/17",25.72
"Currency","2016/10/14",25.74
"Currency","2016/10/13",25.79
"Currency","2016/10/12",25.79
"Currency","2016/10/11",25.80
"Currency","2016/10/10",25.82
"Currency","2016/10/07",25.81
"Currency","2016/10/06",25.87
"Currency","2016/10/05",25.86
"Currency","2016/10/04",25.83
"Currency","2016/10/03",25.91
"Currency","2016/10/01",25.90
"Currency","2016/09/30",25.94
"Currency","2016/09/29",25.84
"Currency","2016/09/28",25.89
"Currency","2016/09/27",25.80
"Currency","2016/09/26",25.91
"Currency","2016/09/24",25.93
"Currency","2016/09/23",25.98
"Currency","2016/09/22",25.96
"Currency","2016/09/21",25.94
"Currency","2016/09/20",25.94
"Currency","2016/09/19",25.76
"Currency","2016/09/17",25.80
"Currency","2016/09/16",25.83
"Currency","2016/09/15",26.11
"Currency","2016/09/14",26.35
"Currency","2016/09/13",26.25
"Currency","2016/09/12",26.61
"Currency","2016/09/10",26.63
"Currency","2016/09/09",26.78
"Currency","2016/09/08",26.66
"Currency","2016/09/07",26.69
"Currency","2016/09/06",26.85
"Currency","2016/09/05",24.80
"Currency","2016/09/03",26.65
"Currency","2016/09/02",26.65
"Currency","2016/09/01",26.60
"Currency","2016/08/31",26.20
"Currency","2016/08/30",25.70
"Currency","2016/08/29",25.53
"Currency","2016/08/26",25.46
"Currency","2016/08/25",25.44
"Currency","2016/08/24",25.34
"Currency","2016/08/23",25.34
"Currency","2016/08/22",25.31
"Currency","2016/08/20",25.21
"Currency","2016/08/19",25.25
"Currency","2016/08/18",25.20
"Currency","2016/08/17",25.10
"Currency","2016/08/16",24.93
"Currency","2016/08/15",25.05
"Currency","2016/08/13",25.00
"Currency","2016/08/12",25.05
"Currency","2016/08/11",24.93
"Currency","2016/08/10",24.81
"Currency","2016/08/09",24.81
"Currency","2016/08/08",24.83
"Currency","2016/08/05",24.82
"Currency","2016/08/04",24.78
"Currency","2016/08/03",24.81
"Currency","2016/08/02",24.80
"Currency","2016/08/01",24.81
"Currency","2016/07/29",24.81
"Currency","2016/07/28",24.80
"Currency","2016/07/27",24.81
"Currency","2016/07/26",24.79
"Currency","2016/07/25",24.78
"Currency","2016/07/22",24.77
"Currency","2016/07/21",24.81
"Currency","2016/07/20",24.80
"Currency","2016/07/19",24.82
"Currency","2016/07/18",24.85
"Currency","2016/07/15",24.84
"Currency","2016/07/14",24.78
"Currency","2016/07/13",24.77
"Currency","2016/07/12",24.84
"Currency","2016/07/11",24.85
"Currency","2016/07/08",24.85
"Currency","2016/07/07",24.81
"Currency","2016/07/06",24.84
"Currency","2016/07/05",24.83
"Currency","2016/07/04",24.82
"Currency","2016/07/01",24.82
"Currency","2016/06/30",24.83
"Currency","2016/06/29",24.92
"Currency","2016/06/28",24.89
"Currency","2016/06/27",24.89
"Currency","2016/06/24",24.89
"Currency","2016/06/23",24.84
"Currency","2016/06/22",24.90
"Currency","2016/06/21",24.89
"Currency","2016/06/20",24.90
"Currency","2016/06/17",24.90
"Currency","2016/06/16",24.87
"Currency","2016/06/15",24.81
"Currency","2016/06/14",24.94
"Currency","2016/06/13",24.87
"Currency","2016/06/10",25.00
"Currency","2016/06/09",25.01
"Currency","2016/06/08",24.96
"Currency","2016/06/07",24.97
"Currency","2016/06/06",24.96
"Currency","2016/06/04",24.95
"Currency","2016/06/03",24.95
"Currency","2016/06/02",25.00
"Currency","2016/06/01",25.08
"Currency","2016/05/31",25.08
"Currency","2016/05/30",25.13
"Currency","2016/05/28",25.15
"Currency","2016/05/27",25.15
"Currency","2016/05/26",25.11
