"Indicator","Time","Value (USD/TJS)"
"Currency","2017/01/12",7.88
"Currency","2017/01/11",7.88
"Currency","2017/01/10",7.87
"Currency","2017/01/09",7.85
"Currency","2017/01/06",7.88
"Currency","2017/01/05",7.88
"Currency","2017/01/04",7.87
"Currency","2017/01/03",7.84
"Currency","2017/01/02",7.88
"Currency","2016/12/30",7.88
"Currency","2016/12/29",7.88
"Currency","2016/12/28",7.88
"Currency","2016/12/27",7.84
"Currency","2016/12/26",7.88
"Currency","2016/12/23",7.88
"Currency","2016/12/22",7.88
"Currency","2016/12/21",7.88
"Currency","2016/12/20",7.88
"Currency","2016/12/19",7.88
"Currency","2016/12/16",7.88
"Currency","2016/12/15",7.88
"Currency","2016/12/14",7.88
"Currency","2016/12/13",7.84
"Currency","2016/12/12",7.88
"Currency","2016/12/09",7.88
"Currency","2016/12/08",7.84
"Currency","2016/12/07",7.88
"Currency","2016/12/06",7.88
"Currency","2016/12/05",7.84
"Currency","2016/12/02",7.88
"Currency","2016/12/01",7.88
"Currency","2016/11/30",7.84
"Currency","2016/11/29",7.85
"Currency","2016/11/28",7.88
"Currency","2016/11/25",7.88
"Currency","2016/11/24",7.88
"Currency","2016/11/23",7.87
"Currency","2016/11/22",7.87
"Currency","2016/11/21",7.88
"Currency","2016/11/19",7.88
"Currency","2016/11/18",7.88
"Currency","2016/11/17",7.87
"Currency","2016/11/16",7.87
"Currency","2016/11/15",7.88
"Currency","2016/11/14",7.86
"Currency","2016/11/11",7.88
"Currency","2016/11/10",7.87
"Currency","2016/11/09",7.87
"Currency","2016/11/08",7.88
"Currency","2016/11/07",7.87
"Currency","2016/11/04",7.85
"Currency","2016/11/03",7.86
"Currency","2016/11/02",7.88
"Currency","2016/11/01",7.87
"Currency","2016/10/31",7.88
"Currency","2016/10/28",7.87
"Currency","2016/10/27",7.88
"Currency","2016/10/26",7.87
"Currency","2016/10/25",7.88
"Currency","2016/10/24",7.88
"Currency","2016/10/21",7.88
"Currency","2016/10/20",7.88
