"Indicator","Time","Value (USD/SYP)"
"Currency","2017/06/05",514.98
"Currency","2017/06/02",514.98
"Currency","2017/06/01",514.98
"Currency","2017/05/31",514.98
"Currency","2017/05/30",514.98
"Currency","2017/05/29",514.98
"Currency","2017/05/26",514.98
"Currency","2017/05/25",514.98
"Currency","2017/05/24",514.98
"Currency","2017/05/23",514.98
"Currency","2017/05/22",514.98
"Currency","2017/05/20",514.98
"Currency","2017/05/19",514.98
"Currency","2017/05/18",514.98
"Currency","2017/05/17",514.98
"Currency","2017/05/16",515.30
"Currency","2017/05/15",515.30
"Currency","2017/05/12",515.00
"Currency","2017/05/11",515.00
"Currency","2017/05/10",515.00
"Currency","2017/05/09",515.00
"Currency","2017/05/08",515.00
"Currency","2017/05/05",515.00
"Currency","2017/05/04",515.00
"Currency","2017/05/03",515.00
"Currency","2017/05/02",515.00
"Currency","2017/05/01",515.00
"Currency","2017/04/28",515.00
"Currency","2017/04/27",515.00
"Currency","2017/04/26",515.00
"Currency","2017/04/25",515.30
"Currency","2017/04/24",515.30
"Currency","2017/04/21",515.30
"Currency","2017/04/20",515.00
"Currency","2017/04/19",514.98
"Currency","2017/04/18",514.98
"Currency","2017/04/17",514.98
"Currency","2017/04/14",514.98
"Currency","2017/04/13",514.98
"Currency","2017/04/12",514.98
"Currency","2017/04/11",514.98
"Currency","2017/04/10",514.98
"Currency","2017/04/07",514.98
"Currency","2017/04/06",514.98
"Currency","2017/04/05",514.98
"Currency","2017/04/04",515.00
"Currency","2017/04/03",514.98
"Currency","2017/03/31",514.98
"Currency","2017/03/30",514.98
"Currency","2017/03/29",514.98
"Currency","2017/03/28",514.98
"Currency","2017/03/27",514.98
"Currency","2017/03/24",514.98
"Currency","2017/03/23",514.98
"Currency","2017/03/22",514.98
"Currency","2017/03/21",514.98
"Currency","2017/03/20",514.98
"Currency","2017/03/17",514.98
"Currency","2017/03/16",514.98
"Currency","2017/03/15",514.98
"Currency","2017/03/14",515.00
"Currency","2017/03/13",514.98
"Currency","2017/03/10",515.00
"Currency","2017/03/09",514.98
"Currency","2017/03/08",515.00
"Currency","2017/03/07",514.98
"Currency","2017/03/06",515.00
"Currency","2017/03/04",514.98
"Currency","2017/03/03",514.98
"Currency","2017/03/02",515.00
"Currency","2017/03/01",514.98
