"Indicator","Time","Value (USD/DZD)"
"Currency","2017/01/12",109.43
"Currency","2017/01/11",110.22
"Currency","2017/01/10",109.91
"Currency","2017/01/09",110.20
"Currency","2017/01/06",110.08
"Currency","2017/01/05",109.95
"Currency","2017/01/04",110.41
"Currency","2017/01/03",110.52
"Currency","2017/01/02",110.30
"Currency","2016/12/30",110.17
"Currency","2016/12/29",110.51
"Currency","2016/12/28",110.72
"Currency","2016/12/27",110.76
"Currency","2016/12/26",110.64
"Currency","2016/12/23",110.89
"Currency","2016/12/22",110.96
"Currency","2016/12/21",110.87
"Currency","2016/12/20",111.10
"Currency","2016/12/19",110.90
"Currency","2016/12/16",111.08
"Currency","2016/12/15",110.92
"Currency","2016/12/14",110.17
"Currency","2016/12/13",110.28
"Currency","2016/12/12",110.63
"Currency","2016/12/10",110.72
"Currency","2016/12/09",110.72
"Currency","2016/12/08",110.90
"Currency","2016/12/07",109.89
"Currency","2016/12/06",110.05
"Currency","2016/12/05",109.93
"Currency","2016/12/02",110.47
"Currency","2016/12/01",110.43
"Currency","2016/11/30",110.25
"Currency","2016/11/29",110.45
"Currency","2016/11/28",110.48
"Currency","2016/11/26",110.54
"Currency","2016/11/25",110.54
"Currency","2016/11/24",110.67
"Currency","2016/11/23",110.67
"Currency","2016/11/22",111.01
"Currency","2016/11/21",110.82
"Currency","2016/11/19",110.65
"Currency","2016/11/18",110.65
"Currency","2016/11/17",110.70
"Currency","2016/11/16",110.83
"Currency","2016/11/15",111.01
"Currency","2016/11/14",110.75
"Currency","2016/11/12",110.25
"Currency","2016/11/11",110.25
"Currency","2016/11/10",110.24
"Currency","2016/11/09",110.05
"Currency","2016/11/08",109.68
"Currency","2016/11/07",110.00
"Currency","2016/11/04",109.35
"Currency","2016/11/03",109.40
"Currency","2016/11/02",109.30
"Currency","2016/11/01",109.50
"Currency","2016/10/31",109.65
"Currency","2016/10/28",109.65
"Currency","2016/10/27",109.77
"Currency","2016/10/26",109.65
"Currency","2016/10/25",109.76
"Currency","2016/10/24",109.80
"Currency","2016/10/21",110.05
"Currency","2016/10/20",110.54
"Currency","2016/10/19",110.42
"Currency","2016/10/18",110.41
"Currency","2016/10/17",110.32
"Currency","2016/10/14",110.50
"Currency","2016/10/13",110.33
"Currency","2016/10/12",110.46
"Currency","2016/10/11",110.30
"Currency","2016/10/10",109.92
"Currency","2016/10/07",109.94
"Currency","2016/10/06",110.06
"Currency","2016/10/05",109.69
"Currency","2016/10/04",109.72
"Currency","2016/10/03",109.63
"Currency","2016/09/30",109.62
"Currency","2016/09/29",109.57
"Currency","2016/09/28",109.61
"Currency","2016/09/27",109.60
"Currency","2016/09/26",109.13
"Currency","2016/09/24",108.76
"Currency","2016/09/23",109.55
"Currency","2016/09/22",109.31
"Currency","2016/09/21",109.38
"Currency","2016/09/20",109.51
"Currency","2016/09/19",109.41
"Currency","2016/09/17",108.77
"Currency","2016/09/16",109.31
"Currency","2016/09/15",109.11
"Currency","2016/09/14",109.09
"Currency","2016/09/13",109.18
"Currency","2016/09/12",109.13
"Currency","2016/09/10",108.38
"Currency","2016/09/09",109.17
"Currency","2016/09/08",108.92
"Currency","2016/09/07",109.14
"Currency","2016/09/06",109.11
"Currency","2016/09/05",109.40
"Currency","2016/09/03",109.00
"Currency","2016/09/02",109.00
"Currency","2016/09/01",109.18
"Currency","2016/08/31",109.17
"Currency","2016/08/30",109.08
"Currency","2016/08/29",109.00
"Currency","2016/08/26",108.39
"Currency","2016/08/25",108.59
"Currency","2016/08/24",109.06
"Currency","2016/08/23",108.81
"Currency","2016/08/22",108.78
"Currency","2016/08/19",108.69
"Currency","2016/08/18",108.62
"Currency","2016/08/17",108.89
"Currency","2016/08/16",108.89
"Currency","2016/08/15",109.71
"Currency","2016/08/12",109.81
"Currency","2016/08/11",109.85
"Currency","2016/08/10",109.70
"Currency","2016/08/09",110.07
"Currency","2016/08/08",110.24
"Currency","2016/08/05",110.21
"Currency","2016/08/04",110.02
"Currency","2016/08/03",110.05
"Currency","2016/08/02",109.74
"Currency","2016/08/01",109.93
"Currency","2016/07/29",110.19
"Currency","2016/07/28",110.50
"Currency","2016/07/27",110.62
"Currency","2016/07/26",110.86
"Currency","2016/07/25",110.84
"Currency","2016/07/22",110.78
"Currency","2016/07/21",110.66
"Currency","2016/07/20",110.73
"Currency","2016/07/19",110.78
"Currency","2016/07/18",110.62
"Currency","2016/07/15",110.57
"Currency","2016/07/14",110.45
"Currency","2016/07/13",110.55
"Currency","2016/07/12",110.61
"Currency","2016/07/11",110.69
"Currency","2016/07/08",110.50
"Currency","2016/07/07",110.42
"Currency","2016/07/06",110.49
"Currency","2016/07/05",110.53
"Currency","2016/07/04",110.21
"Currency","2016/07/01",110.24
"Currency","2016/06/30",110.31
"Currency","2016/06/29",110.29
"Currency","2016/06/28",110.56
"Currency","2016/06/27",110.83
"Currency","2016/06/24",110.47
"Currency","2016/06/23",109.57
"Currency","2016/06/22",109.86
"Currency","2016/06/21",110.01
"Currency","2016/06/20",109.66
"Currency","2016/06/17",110.04
"Currency","2016/06/16",110.30
"Currency","2016/06/15",110.07
"Currency","2016/06/14",110.33
"Currency","2016/06/13",110.00
"Currency","2016/06/10",110.23
"Currency","2016/06/09",109.79
"Currency","2016/06/08",109.50
"Currency","2016/06/07",109.73
"Currency","2016/06/06",109.79
"Currency","2016/06/04",109.67
"Currency","2016/06/03",109.68
"Currency","2016/06/02",110.43
"Currency","2016/06/01",110.41
"Currency","2016/05/31",110.50
"Currency","2016/05/30",110.38
"Currency","2016/05/27",110.47
"Currency","2016/05/26",110.22
"Currency","2016/05/25",110.30
"Currency","2016/05/24",110.33
"Currency","2016/05/23",110.35
"Currency","2016/05/20",110.29
"Currency","2016/05/19",110.30
"Currency","2016/05/18",110.04
"Currency","2016/05/17",109.70
"Currency","2016/05/16",109.58
"Currency","2016/05/13",109.66
"Currency","2016/05/12",109.28
"Currency","2016/05/11",109.26
"Currency","2016/05/10",109.28
"Currency","2016/05/09",109.38
"Currency","2016/05/06",109.24
"Currency","2016/05/05",109.34
"Currency","2016/05/04",108.94
"Currency","2016/05/03",108.78
"Currency","2016/05/02",108.84
"Currency","2016/04/29",109.14
"Currency","2016/04/28",109.23
"Currency","2016/04/27",109.29
"Currency","2016/04/26",109.24
"Currency","2016/04/25",109.47
"Currency","2016/04/23",109.47
"Currency","2016/04/22",109.41
"Currency","2016/04/21",109.10
"Currency","2016/04/20",108.86
"Currency","2016/04/19",108.70
"Currency","2016/04/18",108.94
"Currency","2016/04/15",108.86
"Currency","2016/04/14",108.90
"Currency","2016/04/13",108.68
"Currency","2016/04/12",108.32
"Currency","2016/04/11",107.98
"Currency","2016/04/08",108.12
"Currency","2016/04/07",108.18
"Currency","2016/04/06",108.02
"Currency","2016/04/05",108.20
"Currency","2016/04/04",108.12
"Currency","2016/04/01",108.12
"Currency","2016/03/31",108.46
"Currency","2016/03/30",108.68
"Currency","2016/03/29",109.24
"Currency","2016/03/28",109.95
"Currency","2016/03/25",110.07
"Currency","2016/03/24",109.95
"Currency","2016/03/23",109.86
"Currency","2016/03/22",110.02
"Currency","2016/03/21",109.94
"Currency","2016/03/18",110.13
"Currency","2016/03/17",109.68
"Currency","2016/03/16",110.40
"Currency","2016/03/15",110.02
"Currency","2016/03/14",110.14
"Currency","2016/03/13",109.58
"Currency","2016/03/11",110.08
"Currency","2016/03/10",108.96
"Currency","2016/03/09",108.84
"Currency","2016/03/08",108.60
"Currency","2016/03/07",108.86
"Currency","2016/03/06",108.64
"Currency","2016/03/04",108.70
"Currency","2016/03/03",108.70
"Currency","2016/03/02",109.06
"Currency","2016/03/01",108.82
"Currency","2016/02/29",108.76
"Currency","2016/02/28",108.57
"Currency","2016/02/26",107.90
"Currency","2016/02/25",107.39
"Currency","2016/02/24",107.16
"Currency","2016/02/23",106.64
"Currency","2016/02/22",106.56
"Currency","2016/02/19",106.30
"Currency","2016/02/18",106.33
"Currency","2016/02/17",106.13
"Currency","2016/02/16",106.04
"Currency","2016/02/15",106.12
"Currency","2016/02/12",105.66
"Currency","2016/02/11",105.34
"Currency","2016/02/10",105.85
"Currency","2016/02/09",105.66
"Currency","2016/02/08",106.37
"Currency","2016/02/05",106.45
"Currency","2016/02/04",106.01
"Currency","2016/02/03",106.70
"Currency","2016/02/02",107.12
"Currency","2016/02/01",107.12
"Currency","2016/01/29",107.14
"Currency","2016/01/28",107.36
"Currency","2016/01/27",107.04
"Currency","2016/01/26",107.26
"Currency","2016/01/25",107.42
"Currency","2016/01/22",107.35
"Currency","2016/01/21",107.70
"Currency","2016/01/20",107.24
"Currency","2016/01/19",107.38
"Currency","2016/01/18",107.28
"Currency","2016/01/15",107.70
"Currency","2016/01/14",107.28
"Currency","2016/01/13",107.38
"Currency","2016/01/12",107.34
"Currency","2016/01/11",107.28
"Currency","2016/01/10",107.34
"Currency","2016/01/08",107.34
"Currency","2016/01/07",107.24
"Currency","2016/01/06",107.79
"Currency","2016/01/05",107.58
"Currency","2016/01/04",107.39
"Currency","2016/01/03",107.32
"Currency","2016/01/01",107.04
"Currency","2015/12/31",107.36
"Currency","2015/12/30",106.94
"Currency","2015/12/29",107.18
"Currency","2015/12/28",107.04
"Currency","2015/12/25",107.06
"Currency","2015/12/24",106.84
"Currency","2015/12/23",107.14
"Currency","2015/12/22",106.96
"Currency","2015/12/21",107.06
"Currency","2015/12/20",107.52
"Currency","2015/12/18",107.51
"Currency","2015/12/17",107.34
"Currency","2015/12/16",107.18
"Currency","2015/12/15",107.09
"Currency","2015/12/14",106.87
"Currency","2015/12/11",106.90
"Currency","2015/12/10",106.85
"Currency","2015/12/09",106.75
"Currency","2015/12/08",107.19
"Currency","2015/12/07",107.47
"Currency","2015/12/06",107.31
"Currency","2015/12/04",107.25
"Currency","2015/12/03",107.26
"Currency","2015/12/02",108.31
"Currency","2015/12/01",108.20
"Currency","2015/11/30",108.31
"Currency","2015/11/28",108.02
"Currency","2015/11/27",108.14
"Currency","2015/11/26",108.11
"Currency","2015/11/25",108.34
"Currency","2015/11/24",107.88
"Currency","2015/11/23",107.99
"Currency","2015/11/20",108.25
"Currency","2015/11/19",107.65
"Currency","2015/11/18",108.03
"Currency","2015/11/17",108.01
"Currency","2015/11/16",107.70
"Currency","2015/11/13",107.85
"Currency","2015/11/12",107.48
"Currency","2015/11/11",107.78
"Currency","2015/11/10",107.92
"Currency","2015/11/09",107.80
"Currency","2015/11/08",107.60
"Currency","2015/11/06",107.60
"Currency","2015/11/05",107.12
"Currency","2015/11/04",107.14
"Currency","2015/11/03",106.75
"Currency","2015/11/02",106.56
"Currency","2015/11/01",106.80
"Currency","2015/10/30",106.78
"Currency","2015/10/29",106.78
"Currency","2015/10/28",107.03
"Currency","2015/10/27",106.58
"Currency","2015/10/26",106.54
"Currency","2015/10/25",105.84
"Currency","2015/10/23",106.87
"Currency","2015/10/22",105.75
"Currency","2015/10/21",105.52
"Currency","2015/10/20",105.19
"Currency","2015/10/19",105.49
"Currency","2015/10/18",105.55
"Currency","2015/10/16",105.55
"Currency","2015/10/15",105.19
"Currency","2015/10/14",105.23
"Currency","2015/10/13",105.41
"Currency","2015/10/12",105.26
"Currency","2015/10/09",105.42
"Currency","2015/10/08",105.74
"Currency","2015/10/07",105.62
"Currency","2015/10/06",105.89
"Currency","2015/10/05",105.74
"Currency","2015/10/04",105.86
"Currency","2015/10/02",105.86
"Currency","2015/10/01",106.13
"Currency","2015/09/30",106.19
"Currency","2015/09/29",105.92
"Currency","2015/09/28",106.07
"Currency","2015/09/27",106.50
"Currency","2015/09/26",106.50
"Currency","2015/09/25",106.50
"Currency","2015/09/24",106.05
"Currency","2015/09/23",105.83
"Currency","2015/09/22",106.12
"Currency","2015/09/21",105.94
"Currency","2015/09/20",105.47
"Currency","2015/09/18",105.47
"Currency","2015/09/17",105.60
"Currency","2015/09/16",105.64
"Currency","2015/09/15",105.69
"Currency","2015/09/14",105.58
"Currency","2015/09/13",105.38
"Currency","2015/09/11",105.38
"Currency","2015/09/10",106.00
"Currency","2015/09/09",106.21
"Currency","2015/09/08",106.13
"Currency","2015/09/07",106.18
"Currency","2015/09/06",105.98
"Currency","2015/09/04",105.98
"Currency","2015/09/03",106.22
"Currency","2015/09/02",105.88
"Currency","2015/09/01",105.76
"Currency","2015/08/31",106.14
"Currency","2015/08/30",106.06
"Currency","2015/08/28",106.06
"Currency","2015/08/27",105.94
"Currency","2015/08/26",105.26
"Currency","2015/08/25",105.04
"Currency","2015/08/24",104.64
"Currency","2015/08/21",104.90
"Currency","2015/08/20",105.30
"Currency","2015/08/19",105.73
"Currency","2015/08/18",105.66
"Currency","2015/08/17",105.52
"Currency","2015/08/14",105.16
"Currency","2015/08/13",103.94
"Currency","2015/08/12",102.06
"Currency","2015/08/11",101.58
"Currency","2015/08/10",101.20
"Currency","2015/08/07",100.74
"Currency","2015/08/06",100.65
"Currency","2015/08/05",99.00
"Currency","2015/08/04",98.88
"Currency","2015/08/03",98.81
"Currency","2015/08/02",99.32
"Currency","2015/08/01",99.32
"Currency","2015/07/31",98.90
"Currency","2015/07/30",98.62
"Currency","2015/07/29",98.76
"Currency","2015/07/28",98.51
"Currency","2015/07/27",99.08
"Currency","2015/07/24",98.99
"Currency","2015/07/23",99.58
"Currency","2015/07/22",99.46
"Currency","2015/07/21",99.74
"Currency","2015/07/20",99.75
"Currency","2015/07/17",99.65
"Currency","2015/07/16",99.38
"Currency","2015/07/15",98.85
"Currency","2015/07/14",98.94
"Currency","2015/07/13",98.48
"Currency","2015/07/12",98.90
"Currency","2015/07/10",99.02
"Currency","2015/07/09",98.84
"Currency","2015/07/08",99.32
"Currency","2015/07/07",99.02
"Currency","2015/07/06",98.42
"Currency","2015/07/04",99.29
"Currency","2015/07/03",98.72
"Currency","2015/07/02",98.69
"Currency","2015/07/01",98.43
"Currency","2015/06/30",98.45
"Currency","2015/06/29",98.38
"Currency","2015/06/26",98.29
"Currency","2015/06/25",98.34
"Currency","2015/06/24",98.49
"Currency","2015/06/23",97.70
"Currency","2015/06/22",97.90
"Currency","2015/06/19",97.79
"Currency","2015/06/18",97.63
"Currency","2015/06/17",97.68
"Currency","2015/06/16",97.58
"Currency","2015/06/15",97.93
"Currency","2015/06/12",97.74
"Currency","2015/06/11",97.50
"Currency","2015/06/10",97.72
"Currency","2015/06/09",97.81
"Currency","2015/06/08",97.70
"Currency","2015/06/05",97.51
"Currency","2015/06/04",98.51
"Currency","2015/06/03",98.42
"Currency","2015/06/02",99.05
"Currency","2015/06/01",98.91
"Currency","2015/05/29",99.01
