"Indicator","Time","Value (USD/COP)"
"Currency","2017/04/20",2850.00
"Currency","2017/04/19",2867.00
"Currency","2017/04/18",2839.40
"Currency","2017/04/17",2849.70
"Currency","2017/04/14",2864.00
"Currency","2017/04/13",2864.10
"Currency","2017/04/12",2866.40
"Currency","2017/04/11",2874.00
"Currency","2017/04/10",2859.00
"Currency","2017/04/07",2857.30
"Currency","2017/04/06",2850.70
"Currency","2017/04/05",2859.00
"Currency","2017/04/04",2865.10
"Currency","2017/04/03",2864.20
"Currency","2017/03/31",2873.00
"Currency","2017/03/30",2884.70
"Currency","2017/03/29",2878.00
"Currency","2017/03/28",2903.80
"Currency","2017/03/27",2921.00
"Currency","2017/03/24",2895.90
"Currency","2017/03/23",2912.80
"Currency","2017/03/22",2914.60
"Currency","2017/03/21",2908.70
"Currency","2017/03/20",2906.40
"Currency","2017/03/17",2912.50
"Currency","2017/03/16",2916.40
"Currency","2017/03/15",2959.70
"Currency","2017/03/14",2988.20
"Currency","2017/03/13",2977.70
"Currency","2017/03/10",2978.50
"Currency","2017/03/09",2997.00
"Currency","2017/03/08",2989.60
"Currency","2017/03/07",2945.70
"Currency","2017/03/06",2965.20
"Currency","2017/03/03",2968.80
"Currency","2017/03/02",2971.40
"Currency","2017/03/01",2927.00
"Currency","2017/02/28",2922.70
"Currency","2017/02/27",2890.30
"Currency","2017/02/24",2881.80
"Currency","2017/02/23",2862.70
"Currency","2017/02/22",2888.80
"Currency","2017/02/21",2895.50
"Currency","2017/02/20",2879.60
"Currency","2017/02/17",2884.00
"Currency","2017/02/16",2870.00
"Currency","2017/02/15",2868.10
"Currency","2017/02/14",2868.10
"Currency","2017/02/13",2861.20
"Currency","2017/02/10",2851.00
"Currency","2017/02/09",2857.90
"Currency","2017/02/08",2874.00
"Currency","2017/02/07",2846.20
"Currency","2017/02/06",2851.00
"Currency","2017/02/03",2849.00
"Currency","2017/02/02",2869.90
"Currency","2017/02/01",2904.20
"Currency","2017/01/31",2910.40
"Currency","2017/01/30",2926.10
"Currency","2017/01/27",2928.60
"Currency","2017/01/26",2939.00
"Currency","2017/01/25",2918.60
"Currency","2017/01/24",2928.50
"Currency","2017/01/23",2924.20
"Currency","2017/01/20",2919.00
"Currency","2017/01/19",2946.50
"Currency","2017/01/18",2933.20
"Currency","2017/01/17",2916.60
"Currency","2017/01/16",2936.80
"Currency","2017/01/13",2944.00
"Currency","2017/01/12",2923.25
"Currency","2017/01/11",2968.00
"Currency","2017/01/10",2950.00
"Currency","2017/01/09",2925.00
"Currency","2017/01/06",2922.90
"Currency","2017/01/05",2928.50
"Currency","2017/01/04",2968.00
"Currency","2017/01/03",2978.10
"Currency","2017/01/02",3000.50
"Currency","2016/12/30",3000.50
"Currency","2016/12/29",3001.00
"Currency","2016/12/28",3024.10
"Currency","2016/12/27",2992.00
"Currency","2016/12/26",2997.00
"Currency","2016/12/23",2998.00
"Currency","2016/12/22",2995.80
"Currency","2016/12/21",2994.00
"Currency","2016/12/20",2995.00
"Currency","2016/12/19",3005.10
"Currency","2016/12/16",3007.00
"Currency","2016/12/15",2999.50
"Currency","2016/12/14",2962.29
"Currency","2016/12/13",2968.00
"Currency","2016/12/12",2988.00
"Currency","2016/12/10",3005.60
"Currency","2016/12/09",3007.65
"Currency","2016/12/08",3004.00
"Currency","2016/12/07",3001.40
"Currency","2016/12/06",3009.00
"Currency","2016/12/05",3034.00
"Currency","2016/12/02",3084.00
"Currency","2016/12/01",3071.00
"Currency","2016/11/30",3074.00
"Currency","2016/11/29",3165.00
"Currency","2016/11/28",3150.00
"Currency","2016/11/26",3175.00
"Currency","2016/11/25",3166.00
"Currency","2016/11/24",3172.00
"Currency","2016/11/23",3169.00
"Currency","2016/11/22",3138.00
"Currency","2016/11/21",3145.00
"Currency","2016/11/19",3181.00
"Currency","2016/11/18",3181.00
"Currency","2016/11/17",3157.00
"Currency","2016/11/16",3120.00
"Currency","2016/11/15",3105.00
"Currency","2016/11/14",3117.00
"Currency","2016/11/12",3116.10
"Currency","2016/11/11",3116.10
"Currency","2016/11/10",3111.00
"Currency","2016/11/09",3002.50
"Currency","2016/11/08",2962.00
"Currency","2016/11/07",3060.00
"Currency","2016/11/04",3060.00
"Currency","2016/11/03",3072.00
"Currency","2016/11/02",3067.40
"Currency","2016/11/01",3044.00
"Currency","2016/10/31",2999.00
"Currency","2016/10/28",2988.11
"Currency","2016/10/27",2962.50
"Currency","2016/10/26",2971.90
"Currency","2016/10/25",2931.90
"Currency","2016/10/24",2932.00
"Currency","2016/10/21",2941.60
"Currency","2016/10/20",2930.15
"Currency","2016/10/19",2917.16
"Currency","2016/10/18",2906.46
"Currency","2016/10/17",2920.00
"Currency","2016/10/14",2922.08
"Currency","2016/10/13",2916.10
"Currency","2016/10/12",2904.71
"Currency","2016/10/11",2921.48
"Currency","2016/10/10",2925.50
"Currency","2016/10/07",2927.14
"Currency","2016/10/06",2904.18
"Currency","2016/10/05",2929.37
"Currency","2016/10/04",2976.34
"Currency","2016/10/03",2931.17
"Currency","2016/10/01",2868.00
"Currency","2016/09/30",2882.06
"Currency","2016/09/29",2893.47
"Currency","2016/09/28",2911.70
"Currency","2016/09/27",2887.80
"Currency","2016/09/26",2921.99
"Currency","2016/09/24",2919.00
"Currency","2016/09/23",2917.00
"Currency","2016/09/22",2883.08
"Currency","2016/09/21",2893.66
"Currency","2016/09/20",2915.79
"Currency","2016/09/19",2920.02
"Currency","2016/09/17",2928.00
"Currency","2016/09/16",2958.00
"Currency","2016/09/15",2928.61
"Currency","2016/09/14",2949.72
"Currency","2016/09/13",2976.47
"Currency","2016/09/12",2938.07
"Currency","2016/09/10",2894.00
"Currency","2016/09/09",2919.28
"Currency","2016/09/08",2843.04
"Currency","2016/09/07",2860.82
"Currency","2016/09/06",2866.25
"Currency","2016/09/05",2935.00
"Currency","2016/09/03",2935.20
"Currency","2016/09/02",2987.50
"Currency","2016/09/01",2987.60
"Currency","2016/08/31",2962.60
"Currency","2016/08/30",2940.00
"Currency","2016/08/29",2922.00
"Currency","2016/08/26",2898.10
"Currency","2016/08/25",2906.00
"Currency","2016/08/24",2942.09
"Currency","2016/08/23",2922.50
"Currency","2016/08/22",2889.35
"Currency","2016/08/19",2857.79
"Currency","2016/08/18",2880.18
"Currency","2016/08/17",2911.44
"Currency","2016/08/16",2902.25
"Currency","2016/08/15",2929.01
"Currency","2016/08/12",2930.45
"Currency","2016/08/11",2891.50
"Currency","2016/08/10",2942.26
"Currency","2016/08/09",2985.31
"Currency","2016/08/08",2998.43
"Currency","2016/08/05",3038.00
"Currency","2016/08/04",3083.09
"Currency","2016/08/03",3094.96
"Currency","2016/08/02",3102.31
"Currency","2016/08/01",3088.16
"Currency","2016/07/29",3071.30
"Currency","2016/07/28",3094.00
"Currency","2016/07/27",3084.86
"Currency","2016/07/26",3058.42
"Currency","2016/07/25",3011.71
"Currency","2016/07/22",2950.65
"Currency","2016/07/21",2942.13
"Currency","2016/07/20",2928.49
"Currency","2016/07/19",2927.73
"Currency","2016/07/18",2920.90
"Currency","2016/07/15",2923.35
"Currency","2016/07/14",2916.66
"Currency","2016/07/13",2936.10
"Currency","2016/07/12",2919.17
"Currency","2016/07/11",2936.32
"Currency","2016/07/08",2933.33
"Currency","2016/07/07",2987.22
"Currency","2016/07/06",3001.70
"Currency","2016/07/05",2980.58
"Currency","2016/07/04",2932.91
"Currency","2016/07/01",2932.91
"Currency","2016/06/30",2920.35
"Currency","2016/06/29",2915.60
"Currency","2016/06/28",2981.27
"Currency","2016/06/27",3057.45
"Currency","2016/06/24",2972.01
"Currency","2016/06/23",2897.35
"Currency","2016/06/22",2919.03
"Currency","2016/06/21",2975.69
"Currency","2016/06/20",2974.27
"Currency","2016/06/17",3009.85
"Currency","2016/06/16",3015.95
"Currency","2016/06/15",2977.28
"Currency","2016/06/14",3006.94
"Currency","2016/06/13",2997.61
"Currency","2016/06/10",2971.00
"Currency","2016/06/09",2939.16
"Currency","2016/06/08",2924.52
"Currency","2016/06/07",2941.89
"Currency","2016/06/06",3020.00
"Currency","2016/06/04",3014.25
"Currency","2016/06/03",3019.93
"Currency","2016/06/02",3112.77
"Currency","2016/06/01",3113.84
"Currency","2016/05/31",3089.67
"Currency","2016/05/30",3062.30
"Currency","2016/05/27",3052.50
"Currency","2016/05/26",3052.39
"Currency","2016/05/25",3060.41
"Currency","2016/05/24",3063.79
"Currency","2016/05/23",3055.63
"Currency","2016/05/20",3052.75
"Currency","2016/05/19",3056.49
"Currency","2016/05/18",3024.60
"Currency","2016/05/17",3010.91
"Currency","2016/05/16",3025.87
"Currency","2016/05/13",2974.09
"Currency","2016/05/12",2946.80
"Currency","2016/05/11",2938.48
"Currency","2016/05/10",2974.00
"Currency","2016/05/09",2958.00
"Currency","2016/05/06",2951.35
"Currency","2016/05/05",2955.02
"Currency","2016/05/04",2955.57
"Currency","2016/05/03",2914.10
"Currency","2016/05/02",2834.98
"Currency","2016/04/29",2851.08
"Currency","2016/04/28",2875.67
"Currency","2016/04/27",2931.65
"Currency","2016/04/26",2945.00
"Currency","2016/04/25",2968.22
"Currency","2016/04/23",2946.00
"Currency","2016/04/22",2946.00
"Currency","2016/04/21",2941.68
"Currency","2016/04/20",2898.23
"Currency","2016/04/19",2897.72
"Currency","2016/04/18",2970.24
"Currency","2016/04/15",2997.81
"Currency","2016/04/14",3004.00
"Currency","2016/04/13",3008.45
"Currency","2016/04/12",3019.92
"Currency","2016/04/11",3053.95
"Currency","2016/04/08",3094.11
"Currency","2016/04/07",3109.16
"Currency","2016/04/06",3080.65
"Currency","2016/04/05",3085.45
"Currency","2016/04/04",3065.63
"Currency","2016/04/01",3033.66
"Currency","2016/03/31",3001.00
"Currency","2016/03/30",3017.46
"Currency","2016/03/29",3049.50
"Currency","2016/03/28",3026.44
"Currency","2016/03/25",3073.00
"Currency","2016/03/24",3073.00
"Currency","2016/03/23",3069.33
"Currency","2016/03/22",3029.00
"Currency","2016/03/21",3073.00
"Currency","2016/03/18",3079.00
"Currency","2016/03/17",3072.95
"Currency","2016/03/16",3155.83
"Currency","2016/03/15",3173.38
"Currency","2016/03/14",3162.27
"Currency","2016/03/13",3152.20
"Currency","2016/03/11",3152.20
"Currency","2016/03/10",3220.99
"Currency","2016/03/09",3181.50
"Currency","2016/03/08",3205.64
"Currency","2016/03/07",3143.76
"Currency","2016/03/06",3155.73
"Currency","2016/03/04",3161.40
"Currency","2016/03/03",3194.48
"Currency","2016/03/02",3205.74
"Currency","2016/03/01",3229.29
"Currency","2016/02/29",3293.13
"Currency","2016/02/28",3342.13
"Currency","2016/02/26",3342.13
"Currency","2016/02/25",3343.05
"Currency","2016/02/24",3320.77
"Currency","2016/02/23",3326.16
"Currency","2016/02/22",3341.63
"Currency","2016/02/19",3355.68
"Currency","2016/02/18",3343.00
"Currency","2016/02/17",3360.97
"Currency","2016/02/16",3416.59
"Currency","2016/02/15",3453.90
"Currency","2016/02/12",3380.97
"Currency","2016/02/11",3440.20
"Currency","2016/02/10",3391.55
"Currency","2016/02/09",3362.33
"Currency","2016/02/08",3369.34
"Currency","2016/02/05",3333.24
"Currency","2016/02/04",3319.37
