"Indicator","Time","Value (USD/BOB)"
"Currency","2017/05/17",6.90
"Currency","2017/05/15",6.90
"Currency","2017/05/12",6.90
"Currency","2017/05/11",6.90
"Currency","2017/05/10",6.89
"Currency","2017/05/09",6.90
"Currency","2017/05/08",6.90
"Currency","2017/05/05",6.90
"Currency","2017/05/04",6.90
"Currency","2017/05/03",6.90
"Currency","2017/05/02",6.90
"Currency","2017/05/01",6.89
"Currency","2017/04/28",6.89
"Currency","2017/04/27",6.87
"Currency","2017/04/26",6.88
"Currency","2017/04/21",6.87
"Currency","2017/04/20",6.88
"Currency","2017/04/19",6.88
"Currency","2017/04/18",6.86
"Currency","2017/04/17",6.86
"Currency","2017/04/14",6.88
"Currency","2017/04/13",6.86
"Currency","2017/04/12",6.86
"Currency","2017/04/11",6.86
"Currency","2017/04/10",6.87
"Currency","2017/04/07",6.88
"Currency","2017/04/06",6.87
"Currency","2017/04/05",6.86
"Currency","2017/04/04",6.87
"Currency","2017/04/03",6.88
"Currency","2017/03/31",6.86
"Currency","2017/03/30",6.88
"Currency","2017/03/29",6.86
"Currency","2017/03/28",6.87
"Currency","2017/03/27",6.87
"Currency","2017/03/24",6.86
"Currency","2017/03/23",6.88
"Currency","2017/03/22",6.87
"Currency","2017/03/21",6.87
"Currency","2017/03/20",6.88
"Currency","2017/03/17",6.88
"Currency","2017/03/16",6.87
"Currency","2017/03/15",6.86
"Currency","2017/03/14",6.88
"Currency","2017/03/13",6.87
"Currency","2017/03/10",6.86
"Currency","2017/03/09",6.87
"Currency","2017/03/08",6.88
"Currency","2017/03/07",6.88
"Currency","2017/03/06",6.87
"Currency","2017/03/03",6.88
"Currency","2017/03/02",6.86
"Currency","2017/03/01",6.86
"Currency","2017/02/28",6.86
"Currency","2017/02/27",6.87
"Currency","2017/02/24",6.86
"Currency","2017/02/23",6.85
"Currency","2017/02/22",6.86
"Currency","2017/02/21",6.86
"Currency","2017/02/20",6.86
"Currency","2017/02/17",6.87
"Currency","2017/02/16",6.86
"Currency","2017/02/15",6.88
"Currency","2017/02/14",6.87
"Currency","2017/02/13",6.85
"Currency","2017/02/10",6.86
"Currency","2017/02/09",6.87
"Currency","2017/02/08",6.86
"Currency","2017/02/07",6.87
"Currency","2017/02/06",6.86
"Currency","2017/02/03",6.87
"Currency","2017/02/02",6.86
"Currency","2017/02/01",6.86
"Currency","2017/01/31",6.86
"Currency","2017/01/30",6.85
"Currency","2017/01/27",6.86
"Currency","2017/01/26",6.87
"Currency","2017/01/25",6.86
"Currency","2017/01/24",6.87
"Currency","2017/01/23",6.87
"Currency","2017/01/21",6.86
"Currency","2017/01/20",6.86
"Currency","2017/01/19",6.86
"Currency","2017/01/18",6.87
"Currency","2017/01/17",6.86
"Currency","2017/01/16",6.86
"Currency","2017/01/13",6.86
"Currency","2017/01/12",6.86
"Currency","2017/01/11",6.86
"Currency","2017/01/10",6.85
"Currency","2017/01/09",6.87
"Currency","2017/01/07",6.86
"Currency","2017/01/06",6.86
"Currency","2017/01/05",6.87
"Currency","2017/01/04",6.87
"Currency","2017/01/03",6.86
"Currency","2017/01/02",6.87
"Currency","2016/12/30",6.86
"Currency","2016/12/29",6.86
"Currency","2016/12/28",6.86
"Currency","2016/12/27",6.85
"Currency","2016/12/26",6.86
"Currency","2016/12/23",6.86
"Currency","2016/12/22",6.87
"Currency","2016/12/21",6.86
"Currency","2016/12/20",6.86
"Currency","2016/12/19",6.86
"Currency","2016/12/16",6.86
"Currency","2016/12/15",6.87
"Currency","2016/12/14",6.88
"Currency","2016/12/13",6.86
"Currency","2016/12/12",6.86
"Currency","2016/12/10",6.86
"Currency","2016/12/09",6.86
"Currency","2016/12/08",6.94
"Currency","2016/12/07",6.86
"Currency","2016/12/06",6.87
"Currency","2016/12/05",6.87
"Currency","2016/12/02",6.86
"Currency","2016/12/01",6.87
"Currency","2016/11/30",6.86
"Currency","2016/11/29",6.86
"Currency","2016/11/28",6.87
"Currency","2016/11/26",6.87
"Currency","2016/11/25",6.86
"Currency","2016/11/24",6.87
"Currency","2016/11/23",6.87
"Currency","2016/11/22",6.87
"Currency","2016/11/21",6.93
"Currency","2016/11/19",6.86
"Currency","2016/11/18",6.86
"Currency","2016/11/17",6.86
"Currency","2016/11/16",6.87
"Currency","2016/11/15",6.86
"Currency","2016/11/14",6.87
"Currency","2016/11/12",6.86
"Currency","2016/11/11",6.86
"Currency","2016/11/09",6.86
"Currency","2016/11/08",6.86
"Currency","2016/11/07",6.87
"Currency","2016/11/04",6.87
"Currency","2016/11/03",6.87
"Currency","2016/11/02",6.86
"Currency","2016/11/01",6.87
"Currency","2016/10/31",6.87
"Currency","2016/10/28",6.87
"Currency","2016/10/27",6.87
"Currency","2016/10/26",6.87
"Currency","2016/10/25",6.86
"Currency","2016/10/24",6.87
"Currency","2016/10/21",6.86
"Currency","2016/10/20",6.95
"Currency","2016/10/19",6.94
"Currency","2016/10/18",6.94
"Currency","2016/10/17",6.95
"Currency","2016/10/14",6.95
"Currency","2016/10/13",6.87
"Currency","2016/10/12",6.91
"Currency","2016/10/11",6.95
"Currency","2016/10/10",6.92
"Currency","2016/10/07",6.95
"Currency","2016/10/06",6.95
"Currency","2016/10/05",6.95
"Currency","2016/10/04",6.91
"Currency","2016/10/03",6.91
"Currency","2016/10/01",6.86
"Currency","2016/09/30",6.91
"Currency","2016/09/29",6.91
"Currency","2016/09/28",6.93
"Currency","2016/09/27",6.93
"Currency","2016/09/26",6.93
"Currency","2016/09/24",6.87
"Currency","2016/09/23",6.93
"Currency","2016/09/22",6.93
"Currency","2016/09/21",6.93
"Currency","2016/09/20",6.91
"Currency","2016/09/19",6.91
"Currency","2016/09/17",6.87
"Currency","2016/09/16",6.93
"Currency","2016/09/15",6.95
"Currency","2016/09/14",6.95
"Currency","2016/09/13",6.91
"Currency","2016/09/12",6.94
"Currency","2016/09/10",6.88
"Currency","2016/09/09",6.96
"Currency","2016/09/08",6.96
"Currency","2016/09/07",6.93
"Currency","2016/09/06",6.94
"Currency","2016/09/05",6.85
"Currency","2016/09/03",6.87
"Currency","2016/09/02",6.87
"Currency","2016/09/01",6.87
"Currency","2016/08/31",6.87
"Currency","2016/08/30",6.87
"Currency","2016/08/29",6.87
"Currency","2016/08/26",6.87
"Currency","2016/08/25",6.86
"Currency","2016/08/24",6.94
"Currency","2016/08/23",6.95
"Currency","2016/08/22",6.94
"Currency","2016/08/19",6.95
"Currency","2016/08/18",6.93
"Currency","2016/08/17",6.95
"Currency","2016/08/16",6.95
"Currency","2016/08/15",6.95
"Currency","2016/08/12",6.93
"Currency","2016/08/11",6.91
"Currency","2016/08/10",6.95
"Currency","2016/08/09",6.93
"Currency","2016/08/08",6.91
"Currency","2016/08/05",6.93
"Currency","2016/08/04",6.91
"Currency","2016/08/03",6.94
"Currency","2016/08/02",6.93
"Currency","2016/08/01",6.92
"Currency","2016/07/29",6.93
"Currency","2016/07/28",6.94
"Currency","2016/07/27",6.93
"Currency","2016/07/26",6.94
"Currency","2016/07/25",6.95
"Currency","2016/07/22",6.94
"Currency","2016/07/21",6.95
"Currency","2016/07/20",6.91
"Currency","2016/07/19",6.93
"Currency","2016/07/18",6.89
"Currency","2016/07/15",6.89
"Currency","2016/07/14",6.89
"Currency","2016/07/13",6.88
"Currency","2016/07/12",6.89
"Currency","2016/07/11",6.89
"Currency","2016/07/08",6.89
"Currency","2016/07/07",6.89
"Currency","2016/07/06",6.91
"Currency","2016/07/05",6.91
"Currency","2016/07/04",6.91
"Currency","2016/07/01",6.89
"Currency","2016/06/30",6.91
"Currency","2016/06/29",6.91
"Currency","2016/06/28",6.89
"Currency","2016/06/27",6.91
"Currency","2016/06/24",6.91
"Currency","2016/06/23",6.91
"Currency","2016/06/22",6.91
"Currency","2016/06/21",6.89
"Currency","2016/06/20",6.91
"Currency","2016/06/17",6.91
"Currency","2016/06/16",6.91
"Currency","2016/06/15",6.87
"Currency","2016/06/14",6.89
"Currency","2016/06/13",6.89
"Currency","2016/06/10",6.89
"Currency","2016/06/09",6.89
"Currency","2016/06/08",6.89
"Currency","2016/06/07",6.88
"Currency","2016/06/06",6.88
"Currency","2016/06/04",6.89
"Currency","2016/06/03",6.89
"Currency","2016/06/02",6.88
"Currency","2016/06/01",6.89
"Currency","2016/05/31",6.90
"Currency","2016/05/30",6.89
"Currency","2016/05/27",6.89
"Currency","2016/05/26",6.89
"Currency","2016/05/25",6.89
"Currency","2016/05/24",6.89
"Currency","2016/05/23",6.88
"Currency","2016/05/20",6.89
"Currency","2016/05/19",6.89
"Currency","2016/05/18",6.89
"Currency","2016/05/17",6.90
"Currency","2016/05/16",6.90
"Currency","2016/05/13",6.90
"Currency","2016/05/12",6.90
"Currency","2016/05/11",6.90
"Currency","2016/05/10",6.90
"Currency","2016/05/09",6.90
"Currency","2016/05/06",6.91
"Currency","2016/05/05",6.91
"Currency","2016/05/04",6.92
"Currency","2016/05/03",6.92
"Currency","2016/05/02",6.92
"Currency","2016/04/29",6.92
"Currency","2016/04/28",6.92
"Currency","2016/04/27",6.92
"Currency","2016/04/26",6.92
"Currency","2016/04/25",6.92
"Currency","2016/04/23",6.92
"Currency","2016/04/22",6.92
"Currency","2016/04/21",6.91
"Currency","2016/04/20",6.91
"Currency","2016/04/19",6.91
"Currency","2016/04/18",6.92
"Currency","2016/04/15",6.90
"Currency","2016/04/14",6.91
"Currency","2016/04/13",6.91
"Currency","2016/04/12",6.91
"Currency","2016/04/11",6.91
"Currency","2016/04/08",6.91
"Currency","2016/04/07",6.91
"Currency","2016/04/06",6.91
"Currency","2016/04/05",6.91
"Currency","2016/04/04",6.82
"Currency","2016/04/01",6.82
"Currency","2016/03/31",6.82
"Currency","2016/03/30",6.82
"Currency","2016/03/29",6.83
"Currency","2016/03/28",6.83
"Currency","2016/03/25",6.83
"Currency","2016/03/24",6.83
"Currency","2016/03/23",6.83
"Currency","2016/03/22",6.83
"Currency","2016/03/21",6.83
"Currency","2016/03/18",6.83
"Currency","2016/03/17",6.83
"Currency","2016/03/16",6.83
"Currency","2016/03/15",6.83
"Currency","2016/03/14",6.84
"Currency","2016/03/13",6.84
"Currency","2016/03/11",6.84
"Currency","2016/03/10",6.84
"Currency","2016/03/09",6.84
"Currency","2016/03/08",6.84
"Currency","2016/03/07",6.84
"Currency","2016/03/06",6.85
"Currency","2016/03/04",6.85
"Currency","2016/03/03",6.85
"Currency","2016/03/02",6.85
"Currency","2016/03/01",6.85
"Currency","2016/02/29",6.85
"Currency","2016/02/28",6.87
"Currency","2016/02/26",6.87
"Currency","2016/02/25",6.87
"Currency","2016/02/24",6.87
"Currency","2016/02/23",6.91
"Currency","2016/02/22",6.89
"Currency","2016/02/19",6.89
"Currency","2016/02/18",6.89
"Currency","2016/02/17",6.89
"Currency","2016/02/16",6.89
"Currency","2016/02/15",6.89
"Currency","2016/02/12",6.89
"Currency","2016/02/11",6.90
"Currency","2016/02/10",6.90
"Currency","2016/02/09",6.91
"Currency","2016/02/08",6.91
"Currency","2016/02/05",6.91
"Currency","2016/02/04",6.91
"Currency","2016/02/03",6.90
"Currency","2016/02/02",6.91
"Currency","2016/02/01",6.91
"Currency","2016/01/29",6.90
"Currency","2016/01/28",6.90
"Currency","2016/01/27",6.90
"Currency","2016/01/26",6.91
"Currency","2016/01/25",6.90
"Currency","2016/01/22",6.90
"Currency","2016/01/21",6.90
"Currency","2016/01/20",6.90
"Currency","2016/01/19",6.91
