"Indicator","Time","Value (USD/BDT)"
"Currency","2017/03/06",80.06
"Currency","2017/03/03",79.99
"Currency","2017/03/02",79.85
"Currency","2017/03/01",79.91
"Currency","2017/02/28",79.56
"Currency","2017/02/27",79.86
"Currency","2017/02/24",79.76
"Currency","2017/02/23",79.76
"Currency","2017/02/22",79.97
"Currency","2017/02/21",80.02
"Currency","2017/02/20",80.07
"Currency","2017/02/17",80.09
"Currency","2017/02/16",80.09
"Currency","2017/02/15",80.12
"Currency","2017/02/14",79.77
"Currency","2017/02/13",79.81
"Currency","2017/02/10",79.67
"Currency","2017/02/09",79.66
"Currency","2017/02/08",79.59
"Currency","2017/02/07",79.53
"Currency","2017/02/06",79.57
"Currency","2017/02/03",79.53
"Currency","2017/02/02",79.54
"Currency","2017/02/01",79.49
"Currency","2017/01/31",79.48
"Currency","2017/01/30",79.46
"Currency","2017/01/27",79.32
"Currency","2017/01/26",79.11
"Currency","2017/01/25",79.39
"Currency","2017/01/24",78.89
"Currency","2017/01/23",79.31
"Currency","2017/01/21",79.23
"Currency","2017/01/20",79.23
"Currency","2017/01/19",79.29
"Currency","2017/01/18",79.22
"Currency","2017/01/17",79.09
"Currency","2017/01/16",79.15
"Currency","2017/01/13",79.17
"Currency","2017/01/12",79.14
"Currency","2017/01/11",78.96
"Currency","2017/01/10",79.16
"Currency","2017/01/09",78.94
"Currency","2017/01/06",79.07
"Currency","2017/01/05",79.07
"Currency","2017/01/04",79.05
"Currency","2017/01/03",78.94
"Currency","2017/01/02",78.87
"Currency","2016/12/31",78.91
"Currency","2016/12/30",78.91
"Currency","2016/12/29",78.88
"Currency","2016/12/28",78.92
"Currency","2016/12/27",78.91
"Currency","2016/12/26",78.94
"Currency","2016/12/23",78.95
"Currency","2016/12/22",78.94
"Currency","2016/12/21",78.99
"Currency","2016/12/20",78.56
"Currency","2016/12/19",79.12
"Currency","2016/12/16",79.28
"Currency","2016/12/15",79.31
"Currency","2016/12/14",79.34
"Currency","2016/12/13",79.28
"Currency","2016/12/12",79.24
"Currency","2016/12/10",79.58
"Currency","2016/12/09",79.58
"Currency","2016/12/08",79.90
"Currency","2016/12/07",79.53
"Currency","2016/12/06",79.52
"Currency","2016/12/05",79.37
"Currency","2016/12/03",79.47
"Currency","2016/12/02",79.47
"Currency","2016/12/01",78.58
"Currency","2016/11/30",79.22
"Currency","2016/11/29",79.23
"Currency","2016/11/28",79.17
