"Indicator","Time","Value (USD/MMK)"
"Currency","2017/01/16",1347.00
"Currency","2017/01/13",1357.00
"Currency","2017/01/12",1360.00
"Currency","2017/01/11",1354.00
"Currency","2017/01/10",1352.00
"Currency","2017/01/09",1354.00
"Currency","2017/01/06",1343.00
"Currency","2017/01/05",1346.00
"Currency","2017/01/04",1349.00
"Currency","2017/01/03",1349.00
"Currency","2017/01/02",1355.00
"Currency","2016/12/30",1362.00
"Currency","2016/12/29",1363.00
"Currency","2016/12/28",1363.00
"Currency","2016/12/27",1370.00
"Currency","2016/12/26",1364.00
"Currency","2016/12/24",1367.00
"Currency","2016/12/23",1367.00
"Currency","2016/12/22",1381.00
"Currency","2016/12/21",1374.00
"Currency","2016/12/20",1373.00
"Currency","2016/12/19",1378.00
"Currency","2016/12/16",1364.00
"Currency","2016/12/15",1359.00
"Currency","2016/12/14",1348.00
"Currency","2016/12/13",1329.00
"Currency","2016/12/10",1327.00
"Currency","2016/12/09",1329.00
"Currency","2016/12/08",1330.00
"Currency","2016/12/07",1325.00
"Currency","2016/12/06",1319.00
"Currency","2016/12/05",1313.00
"Currency","2016/12/02",1318.00
"Currency","2016/12/01",1188.00
"Currency","2016/11/30",1317.00
"Currency","2016/11/29",1313.00
"Currency","2016/11/28",1314.00
"Currency","2016/11/25",1314.00
"Currency","2016/11/24",1313.00
"Currency","2016/11/23",1313.00
"Currency","2016/11/22",1309.00
"Currency","2016/11/21",1304.00
"Currency","2016/11/19",1300.00
"Currency","2016/11/18",1301.00
"Currency","2016/11/17",1299.00
"Currency","2016/11/16",1295.00
"Currency","2016/11/15",1294.00
"Currency","2016/11/11",1290.00
"Currency","2016/11/10",1288.00
"Currency","2016/11/09",1283.00
"Currency","2016/11/08",1289.00
"Currency","2016/11/07",1275.00
"Currency","2016/11/04",1276.00
"Currency","2016/11/03",1284.00
"Currency","2016/11/02",1285.00
"Currency","2016/11/01",1288.00
"Currency","2016/10/31",1286.00
"Currency","2016/10/28",1289.50
"Currency","2016/10/27",1285.00
"Currency","2016/10/26",1290.00
"Currency","2016/10/25",1288.00
"Currency","2016/10/24",1280.00
"Currency","2016/10/21",1284.00
"Currency","2016/10/20",1280.00
"Currency","2016/10/19",1285.00
"Currency","2016/10/18",1268.00
"Currency","2016/10/17",1267.00
"Currency","2016/10/14",1277.00
"Currency","2016/10/13",1248.00
"Currency","2016/10/12",1248.00
"Currency","2016/10/11",1248.00
"Currency","2016/10/10",1245.00
"Currency","2016/10/07",1266.00
"Currency","2016/10/06",1268.00
"Currency","2016/10/05",1269.00
"Currency","2016/10/04",1269.00
"Currency","2016/10/03",1265.00
"Currency","2016/10/01",1262.00
"Currency","2016/09/30",1262.00
"Currency","2016/09/29",1254.00
"Currency","2016/09/28",1249.00
"Currency","2016/09/27",1249.00
"Currency","2016/09/26",1243.00
"Currency","2016/09/24",1240.00
"Currency","2016/09/23",1240.00
"Currency","2016/09/22",1232.00
"Currency","2016/09/21",1255.00
"Currency","2016/09/20",1252.00
"Currency","2016/09/19",1240.00
